"January 24th, 2022","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"December 29th, 2021","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"Date","No.","Order No.","Customer Name","PH#","City","Product","Size","Mattress Box","Mattress","Amt on","Address","Total","Customer Notes","Status","Extra info","Delivery Date","Bifercated Prices","Email ID"
"December 28th, 2021","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"Date","No.","Order No.","Customer Name","PH#","City","Product","Size","Mattress Box","Mattress","Amt on","Address","Total","Customer Notes","Status","Extra info","Delivery Date","Bifercated Prices","Email ID"
"December 27th, 2021","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"Date","No.","Order No.","Customer Name","PH#","City","Product","Size","Mattress Box","Mattress","Amt on","Address","Total","Customer Notes","Status","Extra info","Delivery Date","Bifercated Prices","Email ID"
"December 26th, 2021","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"Date","No.","Order No.","Customer Name","PH#","City","Product","Size","Mattress Box","Mattress","Amt on","Address","Total","Customer Notes","Status","Extra info","Delivery Date","Bifercated Prices","Email ID"
"January 11th, 2022","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"Date","No.","Order No.","Customer Name","PH#","City","Product","Size","Mattress Box","Mattress","Amt on","Address","Total","Customer Notes","Status","Extra info","Delivery Date","Bifercated Prices","Email ID"
"11th","102","550","Muhammad Younas","123-456-7890","Winnipeg","Starry Night Plush","Double, ","","10","0","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","20878","","Partially Done","","10-01-2022","1899","younas@netraclos.com"
"11th","103","549","Muhammad Younas","123-456-7890","Winnipeg","Cf 1000","Single, ","","4","0","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","17048","","Partially Done","","10-01-2022","1399","younas@netraclos.com"
"","","","","","","Emperor Dream Black","Single, ","","4","","","","","","","","479",""
"","","","","","","Starry Night Plush","Queen, ","","4","","","","","","","","1999",""
"January 10th, 2022","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"Date","No.","Order No.","Customer Name","PH#","City","Product","Size","Mattress Box","Mattress","Amt on","Address","Total","Customer Notes","Status","Extra info","Delivery Date","Bifercated Prices","Email ID"
"10th","104","548","Muhammad Younas","123-456-7890","Winnipeg","Ibrar Foam House","Single, ","","2","0","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","4400","","Partially Done","","09-01-2022","200","younas@netraclos.com"
"","","","","","","Ibrar Foam House","Double, ","","4","","","","","","","","200",""
"","","","","","","Ibrar Foam House","Queen, ","","6","","","","","","","","200",""
"","","","","","","Ibrar Foam House","King, ","","8","","","","","","","","200",""
"10th","105","547","Muhammad Younas","123-456-7890","Winnipeg","Ibrar Foam House","Single, ","","2","1978","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","1978","","Pending","","09-01-2022","200","younas@netraclos.com"
"","","","","","","Ibrar Foam House","Double, ","","2","","","","","","","","222",""
"","","","","","","Ibrar Foam House","Queen, ","","2","","","","","","","","233",""
"","","","","","","Ibrar Foam House","King, ","","2","","","","","","","","244",""
"10th","106","546","Muhammad Younas","123-456-7890","Winnipeg","Cf 3000 Med Plush","Single, ","","2","0","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","4178","","Pending","","09-01-2022","1899","younas@netraclos.com"
"January 7th, 2022","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"Date","No.","Order No.","Customer Name","PH#","City","Product","Size","Mattress Box","Mattress","Amt on","Address","Total","Customer Notes","Status","Extra info","Delivery Date","Bifercated Prices","Email ID"
"7th","107","545","Muhammad Younas","123-456-7890","Winnipeg","Crown Series","Single, ","","1","0","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","2083","","Partially Done","","07-01-2022","599","younas@netraclos.com"
"","","","","","","Orthopedic Classic","Single, ","","2","","","","","","","","199",""
"","","","","","","Dream Classic","Single, ","","3","","","","","","","","299",""
"7th","108","544","Muhammad Younas","123-456-7890","Winnipeg","Starry Night Plush","Single, ","","2","0","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","14491","","Partially Done","","06-01-2022","1799","younas@netraclos.com"
"","","","","","","Black Shannon Med Firm-black Series","Double, ","","2","","","","","","","","2199",""
"","","","","","","Back Support","Single, ","","2","","","","","","","","599",""
"","","","","","","Orthopedic Classic","Single, ","","20","","","","","","","","199",""
"January 6th, 2022","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"Date","No.","Order No.","Customer Name","PH#","City","Product","Size","Mattress Box","Mattress","Amt on","Address","Total","Customer Notes","Status","Extra info","Delivery Date","Bifercated Prices","Email ID"
"6th","109","543","Muhammad Younas","123-456-7890","Winnipeg","Crown Series","Single, ","","2","0","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","1318","","Partially Done","","05-01-2022","599","younas@netraclos.com"
"6th","110","542","Muhammad Younas","123-456-7890","Winnipeg","Crown Series","Single, ","","4","2636","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","2636","","Partially Done","","05-01-2022","599","younas@netraclos.com"
"6th","111","541","Muhammad Younas","123-456-7890","Winnipeg","Testing By Ibrar","Single, ","","4","194","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","194","","Partially Done","","05-01-2022","44","younas@netraclos.com"
"6th","112","540","Muhammad Younas","123-456-7890","Winnipeg","Crown Series","Single, ","","10","0","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","6589","","Done","","05-01-2022","599","younas@netraclos.com"
"6th","113","539","Muhammad Younas","123-456-7890","Winnipeg","Simple Foam","","","4","678","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","678","","Partially Done","","05-01-2022","44","younas@netraclos.com"
"","","","","","","Testing By Ibrar","Single, ","","10","","","","","","","","44",""
"January 5th, 2022","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"Date","No.","Order No.","Customer Name","PH#","City","Product","Size","Mattress Box","Mattress","Amt on","Address","Total","Customer Notes","Status","Extra info","Delivery Date","Bifercated Prices","Email ID"
"5th","114","538","Muhammad Younas","123-456-7890","Winnipeg","Cf 1000","Single, ","","1","1539","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","1539","","Done","","04-01-2022","1399","younas@netraclos.com"
"January 4th, 2022","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"Date","No.","Order No.","Customer Name","PH#","City","Product","Size","Mattress Box","Mattress","Amt on","Address","Total","Customer Notes","Status","Extra info","Delivery Date","Bifercated Prices","Email ID"
"4th","115","537","Muhammad Younas","123-456-7890","Winnipeg","Crown Series","Single, ","","1","0","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","3461","","Partially Done","","03-01-2022","599","younas@netraclos.com"
"","","","","","","Crown Series","Double, ","","1","","","","","","","","769",""
"","","","","","","Crown Series","Queen, ","","1","","","","","","","","799",""
"","","","","","","Crown Series","King, ","","1","","","","","","","","979",""
"4th","116","536","Muhammad Younas","123-456-7890","Winnipeg","Crown Series","Single, ","","1","3461","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","3461","","Partially Done","","03-01-2022","599","younas@netraclos.com"
"","","","","","","Crown Series","Double, ","","1","","","","","","","","769",""
"","","","","","","Crown Series","Queen, ","","1","","","","","","","","799",""
"","","","","","","Crown Series","King, ","","1","","","","","","","","979",""
"December 31st, 2021","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"Date","No.","Order No.","Customer Name","PH#","City","Product","Size","Mattress Box","Mattress","Amt on","Address","Total","Customer Notes","Status","Extra info","Delivery Date","Bifercated Prices","Email ID"
"31st","117","535","Muhammad Younas","123-456-7890","Winnipeg","Crown Series","Single, ","","10","6589","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","6589","","Postpone","","31-12-2021","599","younas@netraclos.com"
"31st","118","534","Muhammad Younas","123-456-7890","Winnipeg","Testing By Ibrar","Single, ","","22","1065","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","1065","","Canceled","","30-12-2021","44","younas@netraclos.com"
"31st","119","533","Muhammad Younas","123-456-7890","Winnipeg","Testing By Bghalib","Single, ","","1","440","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","440","","Done","","30-12-2021","400","younas@netraclos.com"
"31st","120","532","Muhammad Younas","123-456-7890","Winnipeg","New Product","Single, ","","1","48","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","48","","Pickup Done","","30-12-2021","44","younas@netraclos.com"
"31st","121","530","Muhammad Younas","123-456-7890","Winnipeg","Harmony Lux Tight Top Firm-carbon Series","Single, ","","1","1319","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","1319","","Pickup Not Done","","30-12-2021","1199","younas@netraclos.com"
"31st","122","529","Muhammad Younas","123-456-7890","Winnipeg","Dream Classic","Single, ","","1","0","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","329","","Ready","","30-12-2021","299","younas@netraclos.com"
"31st","123","528","Muhammad Younas","123-456-7890","Winnipeg","8inch Prime Foam (no Warranty)","Single, ","","1","1579","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","1702","","Pending","","30-12-2021","149","younas@netraclos.com"
"","","","","","","Crown Series","Single, ","","1","","","","","","","","599",""
"","","","","","","Crown Series","Queen, ","","1","","","","","","","","799",""
"31st","124","527","Muhammad Younas","123-456-7890","Winnipeg","Crown Series","Single, ","","12","7585","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","7907","","Pending","","30-12-2021","599","younas@netraclos.com"
"31st","125","526","Muhammad Younas","123-456-7890","Québec","Cf 1000","Single, ","","1","1567","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","1567","","Pending","","30-12-2021","1399","younas@netraclos.com"
"December 30th, 2021","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"Date","No.","Order No.","Customer Name","PH#","City","Product","Size","Mattress Box","Mattress","Amt on","Address","Total","Customer Notes","Status","Extra info","Delivery Date","Bifercated Prices","Email ID"
"30th","126","525","Muhammad Younas","123-456-7890","Winnipeg","Cf 1000","Single, ","","1","1539","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","1539","","Pending","","29-12-2021","1399","younas@netraclos.com"
"30th","127","524","Muhammad Younas","123-456-7890","Winnipeg","Cf 1000","Single, ","","1","0","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","1539","","Pending","","29-12-2021","1399","younas@netraclos.com"
"30th","128","523","Muhammad Younas","123-456-7890","Winnipeg","Cf 1000","Single, ","","2","0","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","3078","","Denied","","29-12-2021","1399","younas@netraclos.com"
"30th","129","522","Muhammad Younas","123-456-7890","Winnipeg","New Product","Single, ","","15","1500","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","1500","","Pending","","29-12-2021","44","younas@netraclos.com"
"","","","","","","New Product","Double, ","","16","","","","","","","","44",""
"30th","130","521","Muhammad Younas","123-456-7890","Winnipeg","New Product","Single, ","","20","0","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","1888","","Done","","29-12-2021","44","younas@netraclos.com"
"","","","","","","New Product","Double, ","","19","","","","","","","","44",""
"December 29th, 2021","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"Date","No.","Order No.","Customer Name","PH#","City","Product","Size","Mattress Box","Mattress","Amt on","Address","Total","Customer Notes","Status","Extra info","Delivery Date","Bifercated Prices","Email ID"
"29th","131","520","Muhammad Younas","123-456-7890","Winnipeg","Cf 1000","Single, ","","1","1539","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","1539","","Pending","","28-12-2021","1399","younas@netraclos.com"
"December 28th, 2021","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"Date","No.","Order No.","Customer Name","PH#","City","Product","Size","Mattress Box","Mattress","Amt on","Address","Total","Customer Notes","Status","Extra info","Delivery Date","Bifercated Prices","Email ID"
"28th","132","519","Muhammad Younas","123-456-7890","Winnipeg","Cf 1000","Single, ","","2","0","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","3078","","Done","","29-12-2021","1399","younas@netraclos.com"
"28th","133","518","Muhammad Younas","123-456-7890","Winnipeg","Orthopedic Classic","Single, ","","2","0","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","7473","","Done","","27-12-2021","199","younas@netraclos.com"
"","","","","","","Cf 1000","Single, ","","2","","","","","","","","1399",""
"","","","","","","Starry Night Plush","Single, ","","2","","","","","","","","1799",""
"28th","134","517","Muhammad Younas","123-456-7890","Winnipeg","Orthopedic Classic","Single, ","","2","0","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","10265","","Done","","27-12-2021","199","younas@netraclos.com"
"","","","","","","Orthopedic Classic","Double, ","","2","","","","","","","","269",""
"","","","","","","Black Shannon Med Firm-black Series","Single, ","","4","","","","","","","","2099",""
"28th","135","516","Muhammad Younas","123-456-7890","Winnipeg","Cf 1000","Single, ","","1","0","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","2852","","Done","","27-12-2021","1399","younas@netraclos.com"
"","","","","","","Orthopedic Classic","Single, ","","6","","","","","","","","199",""
"28th","136","515","Muhammad Younas","123-456-7890","Winnipeg","Cf 1000","Single, ","","1","0","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","6377","","Done","","27-12-2021","1399","younas@netraclos.com"
"","","","","","","Black Shannon Med Firm-black Series","Double, ","","2","","","","","","","","2199",""
"December 24th, 2021","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"Date","No.","Order No.","Customer Name","PH#","City","Product","Size","Mattress Box","Mattress","Amt on","Address","Total","Customer Notes","Status","Extra info","Delivery Date","Bifercated Prices","Email ID"
"24th","137","514","Muhammad Younas","123-456-7890","Winnipeg","Cf 2000","Single, ","","1","1559","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","1759","","Pending","","23-12-2021","1599","younas@netraclos.com"
"24th","138","513","Muhammad Younas","123-456-7890","Winnipeg","Starry Night Plush","Single, ","","2","3908","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","3958","","Pending","","23-12-2021","1799","younas@netraclos.com"
"December 23rd, 2021","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"Date","No.","Order No.","Customer Name","PH#","City","Product","Size","Mattress Box","Mattress","Amt on","Address","Total","Customer Notes","Status","Extra info","Delivery Date","Bifercated Prices","Email ID"
"23rd","139","512","Muhammad Younas","123-456-7890","Winnipeg","Cf 2000","Single, ","","3","0","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","5277","","Done","","22-12-2021","1599","younas@netraclos.com"
"23rd","140","511","Muhammad Younas","123-456-7890","Winnipeg","Cf 1000","Single, ","","1","1539","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","1539","","Pending","","22-12-2021","1399","younas@netraclos.com"
"23rd","141","510","Hazrat Bilal","030-333-3333","lahore","Bedsheet","Single, ","","1","0","timergara","35","","Pending","","31-12-1969","35","bilal@yopmail.com"
"23rd","158","493","Hazrat Bilal","030-333-3333","lahore","Crown Series","Single, ","","1","0","timergara","599","","Denied","","31-12-1969","599","bilal@yopmail.com"
"23rd","159","492","Hazrat Bilal","030-333-3333","lahore","Crown Series","Single, ","","1","0","timergara","599","","Denied","","31-12-1969","599","bilal@yopmail.com"
"23rd","160","491","Muhammad Younas","123-456-7890","Winnipeg","Cf 1000","Single, ","","1","0","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","1539","","Pending","","22-12-2021","1399","younas@netraclos.com"
"December 21st, 2021","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"Date","No.","Order No.","Customer Name","PH#","City","Product","Size","Mattress Box","Mattress","Amt on","Address","Total","Customer Notes","Status","Extra info","Delivery Date","Bifercated Prices","Email ID"
"21st","161","490","Muhammad Younas","123-456-7890","Winnipeg","Cf 3000 Med Plush","Single, ","","1","0","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","2089","","Pending","","20-12-2021","1899","younas@netraclos.com"
"21st","165","486","Muhammad Younas","123-456-7890","Winnipeg","Cf 1000","Double, ","","1","0","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","1594","","Pending","","20-12-2021","1449","younas@netraclos.com"
"December 20th, 2021","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"Date","No.","Order No.","Customer Name","PH#","City","Product","Size","Mattress Box","Mattress","Amt on","Address","Total","Customer Notes","Status","Extra info","Delivery Date","Bifercated Prices","Email ID"
"20th","167","482","Muhammad Younas","123-456-7890","Winnipeg","Cf 1000","Single, ","","1","0","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","1539","","Pending","","19-12-2021","1399","younas@netraclos.com"
"20th","168","481","Muhammad Younas","123-456-7890","Winnipeg","Cf 1000","Single, ","","1","0","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","1539","","Pending","","19-12-2021","1399","younas@netraclos.com"
"20th","169","480","Muhammad Younas","123-456-7890","Winnipeg","Cf 1000","Single, ","","1","1539","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","1539","","Pending","","21-12-2021","1399","younas@netraclos.com"
"December 16th, 2021","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"Date","No.","Order No.","Customer Name","PH#","City","Product","Size","Mattress Box","Mattress","Amt on","Address","Total","Customer Notes","Status","Extra info","Delivery Date","Bifercated Prices","Email ID"
"16th","172","477","Hazrat Bilal","030-333-3333","lahore","10 Inch Boxspring (with Mattress)","Queen, ","","200","0","timergara","28000","","Pending","","31-12-1969","140","bilal@yopmail.com"
"16th","173","476","Hazrat Bilal","030-333-3333","lahore","Bedsheet","Single, ","","1","0","timergara","35","","Pending","","31-12-1969","35","bilal@yopmail.com"
"16th","174","475","Muhammad Younas","123-456-7890","Winnipeg","Orthopedic Classic","Single, ","","4","0","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","876","","Done","","15-12-2021","199","younas@netraclos.com"
"16th","175","474","Muhammad Younas","123-456-7890","Winnipeg","Cf 4000 Firm Plush","Single, ","","7","0","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","17702","","Done","","15-12-2021","2299","younas@netraclos.com"
"December 15th, 2021","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"Date","No.","Order No.","Customer Name","PH#","City","Product","Size","Mattress Box","Mattress","Amt on","Address","Total","Customer Notes","Status","Extra info","Delivery Date","Bifercated Prices","Email ID"
"15th","176","473","Muhammad Younas","123-456-7890","Winnipeg","5inch Foam Pick Up From Dundas","Single, ","","10","0","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","21066","","Pending","","14-12-2021","989","younas@netraclos.com"
"","","","","","","5inch Foam Pick Up From Dundas","Queen, ","","9","","","","","","","","1029",""
"15th","177","472","Muhammad Younas","123-456-7890","Winnipeg","10 Inch Boxspring (with Mattress)","Single, ","","200","0","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","22000","","Pending","","14-12-2021","100","younas@netraclos.com"
"15th","178","470","Muhammad Younas","123-456-7890","Winnipeg","Cf 1000","Single, ","","1","0","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","1539","","Pending","","14-12-2021","1399","younas@netraclos.com"
